Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
jd degree,US,Getting Your JD Degree: What to Expect from Law School,Published,2022-07-14,https://www.coursera.org/articles/jd-degree,Izea,Degrees,"Degrees by Level,Career Path Planning",Advanced,Advancer,Considering,Degree Overview
hospitality jobs,US,21 Hospitality Jobs: Entry-Level to Advanced + High-Paying Roles,Published,2022-10-25,https://www.coursera.org/articles/hospitality-jobs,Izea,Career Advice,Career Path Planning,Choosing a Career,Starter,Considering,Career Options
career change at 50,US,"How to Change Careers at 50: Tips, Career Ideas, and More",Published,2022-05-19,https://www.coursera.org/articles/career-change-at-50,Alissa,Career Advice,Career Path Planning,Switching Careers,Switcher,Considering,Career Options
second bachelor's degree,US,Do You Need a Second Bachelor’s Degree? ,Published,2022-04-15,https://www.coursera.org/articles/second-bachelors-degree,Amanda,Degrees,"Degrees by Level,Degree Advice","Bachelor's,Degree FAQ","Starter,Switcher","Considering,Current",Degree Overview
what is a professional degree,US,What Is a Professional Degree? Your Guide,Published,2021-12-23,https://www.coursera.org/articles/what-is-a-professional-degree,Amanda,Degrees,Degrees by Level,Advanced,Advancer,Considering,Degree Overview
how long does it take to get a business degree,US,How Long Does It Take to Get a Business Degree?,Published,2021-12-22,https://www.coursera.org/articles/how-long-does-it-take-to-get-a-business-degree,Izea,Degrees,"Degrees by Topic,Entrepreneurship,Degree Advice",Business Degrees,"Starter,Switcher,Advancer",Considering,Degree Overview
what does phd stand for,US,What Does 'PhD' Stand For? ,Published,2022-01-28,https://www.coursera.org/articles/what-does-phd-stand-for,Izea,Degrees,Degrees by Level,Advanced,Advancer,Considering,Degree Overview
reasons for leaving a job,US,Reasons for Leaving a Job and How to Talk About Them in an Interview,Published,2022-03-15,https://www.coursera.org/articles/reasons-for-leaving-a-job,Alissa,Career Advice,Career Path Planning,Switching Careers,Switcher,Considering,Long Explainer
ba vs bs,IN,What Is the Difference Between a BA and a BSc Degree?,Published,2022-11-07,https://www.coursera.org/in/articles/ba-vs-bs,Izea,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Comparison
how to get it certifications,US,How to Get IT Certifications in 5 Steps,Published,2021-08-02,https://www.coursera.org/articles/how-to-get-it-certifications,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher","Considering,Applying",Certification
functional resume,US,Functional Resume Guide: Template and Tips,Published,2022-07-21,https://www.coursera.org/articles/functional-resume,Alissa,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher,Advancer",Applying,Job Resume
msa degree,US,Master of Science in Accounting (MSA) Degree: What You Should Know ,Published,2022-11-30,https://www.coursera.org/articles/msa-degree,Amanda,Degrees,"Degrees by Topic,Finance,Degrees by Level","Business Degrees,Master's","Switcher,Advancer",Considering,Degree Overview
professional development goals,US,What Are Professional Development Goals? 10 Examples + How to Set Them,Published,2022-08-10,https://www.coursera.org/articles/professional-development-goals,Amber,Career Advice,Career Path Planning,Career Advancement,"Switcher,Advancer",Current,Career Options
letter of intent grad school,US,How to Write a Standout Letter of Intent for Graduate School,Published,2023-01-24,https://www.coursera.org/articles/letter-of-intent-grad-school,Amanda,Degrees,"Degrees by Level,Degree Advice","Master's,College Applications","Switcher,Advancer",Applying,Long Explainer
doctorate,US,What Is a Doctorate?,Published,2022-06-27,https://www.coursera.org/articles/doctorate,Izea,Degrees,Degrees by Level,Advanced,Advancer,Considering,Degree Overview
questions to ask hiring manager,US,"28 Insightful Questions to Ask the Hiring Manager: Role Specifics, Management Style, Culture, and More",Published,2022-02-25,https://www.coursera.org/articles/questions-to-ask-hiring-manager,Alissa,Career Advice,Career Support,Interviews,"Starter,Switcher",Applying,Interview Questions
high demand jobs,US,14 High-Demand Jobs in 2026,Published,2022-07-13,https://www.coursera.org/articles/high-demand-jobs,Amanda,Career Advice,Career Path Planning,Choosing a Career,"Starter,Switcher",Considering,Career Options
system administrator degree,US,Your Guide to System Administration Degrees,Published,2022-04-08,https://www.coursera.org/articles/system-administrator-degree,Amanda,Degrees,"Degrees by Topic,Networks and Security",IT Degrees,"Starter,Switcher",Considering,Degree Overview
technical careers to study at night,US,10 Technical Careers to Study at Night (or Any Time),Published,2022-11-30,https://www.coursera.org/articles/technical-careers-to-study-at-night,Alissa,Career Advice,Career Path Planning,"Choosing a Career,Switching Careers","Switcher,Starter",Considering,Career Options
mfa degree,US,"MFA Degree Overview: Types, Jobs, and Salaries",Published,2022-05-19,https://www.coursera.org/articles/mfa-degree,Izea,Degrees,Degrees by Topic,Humanities and Liberal Arts Degrees,Advancer,Considering,Degree Overview
how many credits do you need to graduate college,US,How Many Credits Do You Need to Graduate College?,Published,2021-12-15,https://www.coursera.org/articles/how-many-credits-do-you-need-to-graduate-college,Alissa,Degrees,Degree Advice,"Degree FAQ,College Applications","Starter,Switcher",Considering,Degree Overview
what is usability,US,What Is Usability? Designing for Ease,Published,2021-10-29,https://www.coursera.org/articles/what-is-usability-and-why-it-matters,Amber,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher",Considering,Long Explainer
ba vs bs,US,What Is the Difference Between a BA and a BS Degree?,Published,2022-07-01,https://www.coursera.org/articles/ba-vs-bs,Tiffany,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Comparison
bachelor of fine arts,US,Your Guide to the Bachelor of Fine Arts (BFA) Degree,Published,2022-05-18,https://www.coursera.org/articles/bachelor-of-fine-arts,Amanda,Degrees,Degrees by Topic,Humanities and Liberal Arts Degrees,Starter,Considering,Degree Overview
when does college start,US,When Does College Start? Key Dates for Fall and Spring,Published,2022-09-26,https://www.coursera.org/articles/when-does-college-start,Alissa,Degrees,Degree Advice,Degree FAQ,Starter,"Applying,Current",Long Explainer
job application email,US,How to Write an Eye-Catching Job Application Email,Published,2022-07-20,https://www.coursera.org/articles/job-application-email,Amanda,Career Advice,Career Support,Job Applications,"Starter,Switcher",Applying,How to (General)
starting a new job,US,Starting a New Job: 18 Tips for Early and Ongoing Success,Published,2022-06-07,https://www.coursera.org/articles/starting-a-new-job,Amanda,Career Advice,Career Path Planning,Switching Careers,Switcher,Applying,How to (Jobs)
graphic design degree,US,Your Guide to Graphic Design Degrees,Published,2022-09-14,https://www.coursera.org/articles/graphic-design-degree,Alissa,Degrees,"Design and Product,Degrees by Topic","Graphic Designer,Computer Science Degrees","Starter,Switcher",Considering,Degree Overview
Partner Article Pilot: coursera marketing manager,US,Career Advice: How to Become a Marketing Manager at Coursera,Published,2022-05-17,https://www.coursera.org/articles/how-to-become-a-marketing-manager-at-coursera,Alissa,Business,Marketing,Digital Marketer,"Switcher,Advancer",Considering,Career Path
mpa,US,What Is an MPA?,Published,2022-08-22,https://www.coursera.org/articles/mpa,Izea,Degrees,Degrees by Topic,Business Degrees,"Switcher,Advancer",Considering,Degree Overview
project manager career path,US,Project Manager Career Path: From Entry-Level to VP,Published,2021-12-06,https://www.coursera.org/articles/project-manager-career-path,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher,Advancer","Considering,Current",Career Path
what is a liberal arts college,US,What Is a Liberal Arts College? ,Published,2022-03-08,https://www.coursera.org/articles/what-is-a-liberal-arts-college,Izea,Degrees,Degree Advice,Degree FAQ,Starter,Considering,Degree Overview
upskilling,US,Upskilling: What It Means and How It Can Help Your Career,Published,2022-07-13,https://www.coursera.org/articles/upskilling,Alissa,Career Advice,"Skills,Career Path Planning",Career Advancement,"Switcher,Advancer","Considering,Applying",Long Explainer
master of data science salary,US,Master of Data Science Salaries: 2026 Guide,Published,2023-01-26,https://www.coursera.org/articles/master-of-data-science-salary,Alissa,Degrees,"Degrees by Topic,Data Science,Degrees by Level","Master's,Data Science Degrees","Switcher,Advancer",Considering,Salary Guide
technical interview questions,US,30 Technical Interview Questions and Tips for Answering,Published,2022-03-16,https://www.coursera.org/articles/technical-interview-questions,Amanda,Career Advice,Career Support,Interviews,"Starter,Switcher",Applying,Interview Questions
ma vs ms,US,MA vs. MS Degrees: A Guide,Published,2022-04-29,https://www.coursera.org/articles/ma-vs-ms,Amanda,Degrees,Degrees by Level,Master's,"Switcher,Advancer",Considering,Comparison
master healthcare administration,US,What Is the Master of Health Care Administration (MHA)?,Published,2022-07-27,https://www.coursera.org/articles/master-healthcare-administration,Izea,Degrees,"Degrees by Topic,Health Care Management","Health Degrees,Business Degrees","Advancer,Switcher",Considering,Degree Overview
bachelor's degree in marketing,US,Your Guide to the Bachelor's Degree in Marketing,Redirected,2022-05-17,https://www.coursera.org/articles/bachelors-degree-in-marketing,Amanda,Degrees,"Degrees by Topic,Marketing","Business Degrees,Digital Marketer","Starter,Switcher",Considering,Degree Overview
it interview questions,US,10 Common IT Interview Questions and How to Answer Them,Requires Updates,2021-11-02,https://www.coursera.org/articles/common-it-interview-questions-and-how-to-answer-them,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher",Applying,Interview Questions
is a bachelor's degree worth it,US,Is a Bachelor’s Degree Worth It?,Updates Assigned,2022-02-22,https://www.coursera.org/articles/is-a-bachelors-degree-worth-it,Amanda,Degrees,"Degrees by Level,Degree Advice",Bachelor's,Starter,Considering,Degree Overview
juris doctor degree,US,What Is a Juris Doctor (JD) Degree?,Published,2022-02-04,https://www.coursera.org/articles/juris-doctor-degree,Izea,Degrees,"Degrees by Level,Degrees by Topic",Advanced,Advancer,Considering,Degree Overview
how to motivate yourself,US,How to Motivate Yourself: 11 Tips for Self Improvement,Updates Assigned,2022-07-21,https://www.coursera.org/articles/how-to-motivate-yourself,Lydia,Degrees,Degree Advice,Success in College,"Starter,Switcher,Advancer","Considering,Current",How to (General)
chronological resume,US,Chronological Resume Guide: Template and Tips ,Published,2022-05-31,https://www.coursera.org/articles/chronological-resume,Alissa,Career Advice,"Career Support,Career Path Planning",Resumes and Cover Letters,"Starter,Switcher,Advancer",Applying,Job Resume
public health bachelor's degree jobs,US,9 Jobs You Can Get with a Bachelor’s Degree in Public Health ,Published,2022-04-21,https://www.coursera.org/articles/public-health-bachelors-degree-jobs,Amanda,Degrees,"Degrees by Topic,Public Health","Health Degrees,Community Health Worker",Starter,Considering,Career Options
business management degree,US,What Is a Business Management Degree and What Can You Do With One?,Published,2022-03-25,https://www.coursera.org/articles/business-management-degree,Izea,Degrees,"Degrees by Topic,Leadership and Management,Entrepreneurship",Business Degrees,"Starter,Switcher",Considering,Degree Overview
career development plan,US,How to Create a Goal-Oriented Career Development Plan (Template + Tips),Published,2022-03-25,https://www.coursera.org/articles/career-development-plan,Alissa,Career Advice,Career Path Planning,Career Advancement,"Switcher,Advancer",Current,How to (General)
how long does it take to get an mba,US,How Long Does It Take to Get an MBA?,Published,2021-11-17,https://www.coursera.org/articles/how-long-does-it-take-to-get-an-mba,Alissa,Degrees,Degrees by Topic,Business Degrees,Advancer,Considering,Long Explainer
remote work,US,Remote Work Guide: How to Find Work-From-Home Jobs,Published,2022-08-18,https://www.coursera.org/articles/remote-work,Alissa,Career Advice,Career Support,Work-Life Balance,"Switcher,Starter",Considering,How to (Jobs)
liberal arts degree,US,What Is a Liberal Arts Degree?,Published,2022-07-27,https://www.coursera.org/articles/liberal-arts-degree,Izea,Degrees,"Degrees by Topic,Degree Advice",Humanities and Liberal Arts Degrees,Starter,Considering,Degree Overview
master of engineering,US,What Is a Master of Engineering (MEng) Degree?,Published,2022-06-27,https://www.coursera.org/articles/master-of-engineering,Izea,Degrees,"Degrees by Topic,Engineering",Computer Science Degrees,Advancer,Considering,Degree Overview
associate degree,US,"What Is an Associate Degree? Requirements, Costs, and More",Updates Assigned,2022-08-08,https://www.coursera.org/articles/what-is-an-associate-degree-key-information-to-know,Amber,Degrees,Degrees by Level,Associate,Starter,Considering,Degree Overview
ux designer career path,US,5 UX Designer Career Paths: Stepping Up Your Design Career,Published,2021-06-24,https://www.coursera.org/articles/ux-designer-career-paths,Amber,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher,Advancer","Current,Considering",Career Path
job coach,US,What Is a Job Coach? And Who Might Hire One,Published,2022-03-31,https://www.coursera.org/articles/job-coach,Alissa,Career Advice,Career Path Planning,Career Advancement,"Switcher,Advancer","Considering,Applying,Current",Long Explainer
how long does it take to get a bachelors degree,US,How Long Does It Take to Get a Bachelor’s Degree?,Redirected,2022-05-27,https://www.coursera.org/articles/how-long-does-it-take-to-get-a-bachelors-degree,Izea,Degrees,"Degrees by Level,Degree Advice",Bachelor's,"Starter,Switcher",Considering,Degree Overview
how many colleges should i apply to,US,How Many Colleges Should You Apply To?,Published,2022-09-14,https://www.coursera.org/articles/how-many-colleges-should-i-apply-to,Alissa,Degrees,"Degrees by Level,Degree Advice","Bachelor's,College Applications,Degree FAQ","Starter,Switcher",Applying,Long Explainer
life coach,US,What Is a Life Coach?,Published,2022-02-02,https://www.coursera.org/articles/life-coach,Alissa,Business,Entrepreneurship,Career Coach,"Starter,Switcher",Considering,Career Overview
what is a bachelor's degree,US,"What Is a Bachelor’s Degree? Types, Cost, and Application Requirements",Published,2022-08-29,https://www.coursera.org/articles/what-is-a-bachelors-degree,Amber,Degrees,Degrees by Level,Bachelor's,Starter,Considering,Degree Overview
can you get a bachelor's degree at a community college,US,Can You Get a Bachelor's Degree at Community College?,Published,2021-11-17,https://www.coursera.org/articles/can-you-get-a-bachelors-degree-at-community-college,Amanda,Degrees,"Degrees by Level,Degree Advice","Bachelor's,Degree FAQ","Starter,Switcher",Considering,Degree Overview
associate degree in business administration,US,Your Guide to the Associate Degree in Business Administration,Published,2022-04-05,https://www.coursera.org/articles/associate-degree-in-business-administration,Alissa,Degrees,"Degrees by Topic,Degrees by Level,Entrepreneurship","Business Degrees,Associate",Starter,Considering,Degree Overview
is a masters in data science worth it,US,Is a Master’s Degree in Data Science Worth It?,Published,2023-01-24,https://www.coursera.org/articles/is-a-masters-in-data-science-worth-it,Amanda,Degrees,"Degrees by Topic,Data Science,Degrees by Level","Data Science Degrees,Master's","Switcher,Advancer",Considering,Degree Overview
writing skills,US,7 Ways to Improve Your Writing Skills ,Published,2022-05-03,https://www.coursera.org/articles/writing-skills,Amber,Career Advice,Skills,Job Skills,"Starter,Advancer",Current,Skills
bachelor of accounting,US,What Is a Bachelor's in Accounting and What Can You Do with One?,Published,2022-09-02,https://www.coursera.org/articles/bachelor-of-accounting,Izea,Degrees,"Degrees by Topic,Finance",Business Degrees,Starter,Considering,Degree Overview
do college credits expire,US,Do College Credits Expire?,Published,2022-06-06,https://www.coursera.org/articles/do-college-credits-expire,Alissa,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Long Explainer
masters in education,US,"Master's in Education: Programs, Careers, & Salary Guide",Published,2022-08-10,https://www.coursera.org/articles/masters-in-education,Izea,Degrees,Degrees by Topic,Humanities and Liberal Arts Degrees,Advancer,Considering,Degree Overview
online degree,US,A Guide to Online Degrees,Published,2022-03-24,https://www.coursera.org/articles/online-degrees,Amanda,Degrees,Degree Advice,Degree FAQ,"Starter,Switcher,Advancer",Considering,Degree Overview
figma vs sketch,US,Figma vs. Sketch vs. Adobe XD: Which Design Tool Is Right for You?,Published,2021-10-21,https://www.coursera.org/articles/figma-vs-sketch-vs-adobe-xd,Lydia,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher","Current,Considering",Comparison
alternatives to college,US,9 Alternatives to College,Published,2022-11-30,https://www.coursera.org/articles/alternatives-to-college,Alissa,Degrees,Degree Advice,Degree Alternatives,"Starter,Switcher",Considering,Do You Need a Degree
associate degree in business,US,What Is an Associate Degree in Business?,Updates Assigned,2022-07-29,https://www.coursera.org/articles/associate-degree-in-business,Izea,Degrees,"Degrees by Topic,Degrees by Level,Entrepreneurship","Business Degrees,Associate",Starter,Considering,Degree Overview
associate of applied science,US,What Is an Associate of Applied Science Degree?,Updates Assigned,2022-09-20,https://www.coursera.org/articles/associate-of-applied-science,Izea,Degrees,Degrees by Level,Associate,Starter,Considering,Degree Overview
mba recommendation letter,US,How to Write an MBA Recommendation Letter,Published,2021-11-17,https://www.coursera.org/articles/mba-recommendation-letter,Alissa,Degrees,"Degree Advice,Degrees by Topic,Degrees by Level","Business Degrees,College Applications,Master's",Advancer,Applying,How to (General)
behavioral interview questions,US,21 Behavioral Interview Questions and Answers,Published,2022-02-10,https://www.coursera.org/articles/behavioral-interview-questions,Amanda,Career Advice,Career Support,Interviews,"Starter,Switcher",Applying,Interview Questions
it podcasts,US,18 IT and Tech Podcasts for Tech Professionals,Published,2021-09-15,https://www.coursera.org/articles/it-and-tech-podcasts,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher,Advancer","Considering,Current",Resources
project management degree,US,Do I Need a Project Management Degree?,Published,2021-12-08,https://www.coursera.org/articles/project-management-degree,Izea,Degrees,"Leadership and Management,Degrees by Topic","Project Manager,Business Degrees","Starter,Switcher",Considering,Do You Need a Degree
what is networking,US,What Is Networking? How to Grow Your Network,Published,2022-08-05,https://www.coursera.org/articles/what-is-networking,Alissa,Career Advice,Career Support,Professional Networking,"Starter,Switcher,Advancer","Considering,Current",Long Explainer
certificate programs,US,What Are Certificate Programs? A 2026 Guide,Published,2022-02-11,https://www.coursera.org/articles/certificate-programs,Amanda,Degrees,Degree Advice,Degree Alternatives,"Starter,Switcher",Considering,Long Explainer
cover letter for internal position,US,How to Write a Cover Letter for an Internal Position,Published,2022-06-09,https://www.coursera.org/articles/cover-letter-for-internal-position,Alissa,Career Advice,Career Support,Resumes and Cover Letters,"Switcher,Advancer",Applying,Job Resume
how to find a job,US,How to Find a Job: 15 Ways to Expand Your Search,Published,2022-05-04,https://www.coursera.org/articles/how-to-find-a-job,Amanda,Career Advice,Career Support,Job Applications,"Switcher,Starter",Applying,How to (Jobs)
first generation college student,US,What Is a First-Generation College Student?,Published,2022-08-04,https://www.coursera.org/articles/first-generation-college-student,Alissa,Degrees,Degree Advice,Success in College,Starter,Considering,Long Explainer
master of science,US,The Master of Science (MS) Degree: A Guide,Published,2021-11-24,https://www.coursera.org/articles/master-of-science,Amanda,Degrees,Degrees by Level,Master's,"Advancer,Switcher",Considering,Degree Overview
how long does it take to get a phd,US,How Long Does It Take to Get a PhD?,Published,2022-01-24,https://www.coursera.org/articles/how-long-does-it-take-to-get-a-phd,Izea,Degrees,Degrees by Level,Advanced,Advancer,Considering,Degree Overview
data analyst career path,US,4 Data Analyst Career Paths: Your Guide to Leveling Up,Published,2021-11-12,https://www.coursera.org/articles/data-analyst-career-paths,Lydia,Data,Data Analytics,Data Analyst,"Starter,Switcher,Advancer","Considering,Current",Career Path
types of business degrees,US,Types of Business Degrees: 2026 Guide,Published,2022-04-28,https://www.coursera.org/articles/types-of-business-degrees,Alissa,Degrees,"Degrees by Topic,Entrepreneurship",Business Degrees,"Starter,Switcher,Advancer",Considering,Degree Overview
how to write a linkedin summary,US,How to Write a LinkedIn Summary That Helps You Stand Out,Published,2022-03-08,https://www.coursera.org/articles/how-to-write-a-linkedin-summary,Izea,Career Advice,Career Support,Professional Networking,"Starter,Switcher,Advancer","Considering,Applying",How to (General)
best work life balance jobs,US,9 Jobs for Better Work-Life Balance,Published,2022-07-13,https://www.coursera.org/articles/work-life-balance-jobs,Mateo,Career Advice,Career Path Planning,Choosing a Career,"Switcher,Starter",Considering,Career Options
what can you do with a health science degree,US,What Can You Do With a Health Science Degree? 8 Jobs to Explore,Published,2022-05-02,https://www.coursera.org/articles/what-can-you-do-with-a-health-science-degree,Amanda,Degrees,"Degrees by Topic,Degree Advice,Career Path Planning",Health Degrees,"Starter,Switcher",Considering,Career Options
resume skills section,US,How to Feature and Format Key Skills on Your Resume,Redirected,2022-03-29,https://www.coursera.org/articles/resume-skills-section,Amanda,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
mba requirements,US,MBA Admissions Requirements: What You Need to Qualify and How to Apply,Published,2022-02-14,https://www.coursera.org/articles/mba-requirements,Izea,Degrees,"Degrees by Topic,Degree Advice","Business Degrees,College Applications",Advancer,Applying,Degree Overview
masters programs,US,Your Guide to Master's Programs,Killed,2022-05-31,https://www.coursera.org/articles/masters-programs,Izea,Degrees,Degrees by Level,Master's,"Switcher,Advancer",Considering,Degree Overview
how to get an mba,US,How to Get an MBA: What It Takes to Earn This Advanced Degree,Published,2021-11-23,https://www.coursera.org/articles/how-to-get-an-mba-degree,Alissa,Degrees,Degrees by Topic,Business Degrees,Advancer,"Considering,Applying",How to (General)
soft skills,US,What Are Soft Skills?,Published,2022-09-14,https://www.coursera.org/articles/soft-skills,Alissa,Career Advice,Skills,Job Skills,"Starter,Switcher,Advancer","Current,Applying",Skills
bsw,US,BSW Degree: Your Guide to the Bachelor of Social Work,Published,2022-07-14,https://www.coursera.org/articles/bsw-degree,Amanda,Degrees,Degrees by Topic,Health Degrees,Starter,Considering,Degree Overview
cloud engineer,US,What Is a Cloud Engineer? Building and Maintaining the Cloud,Published,2021-10-19,https://www.coursera.org/articles/what-is-a-cloud-engineer,Amber,IT,Networks and Security,Cloud Engineer,"Starter,Switcher",Considering,Career Overview
liberal arts degree jobs,US,11 High-Paying Jobs You Can Get with a Liberal Arts Degree ,Published,2022-03-23,https://www.coursera.org/articles/liberal-arts-degree-jobs,Izea,Degrees,"Degrees by Topic,Degree Advice,Career Path Planning",Humanities and Liberal Arts Degrees,Starter,"Current,Considering",Career Options
reduction in force,US,What Is RIF? How to Deal With a Reduction in Force,Published,2022-09-14,https://www.coursera.org/articles/reduction-in-force,Alissa,Career Advice,Career Path Planning,Switching Careers,Switcher,Current,Long Explainer
master of arts,US,What Can You Do with a Master of Arts Degree?,Published,2022-04-25,https://www.coursera.org/articles/master-of-arts-degree,Izea,Degrees,Degrees by Level,Master's,"Switcher,Advancer",Considering,Degree Overview
what is a minor in college,US,What Is a College Minor?,Published,2022-02-18,https://www.coursera.org/articles/what-is-a-minor-in-college,Izea,Degrees,"Degrees by Level,Degree Advice","Bachelor's,Degree FAQ",Starter,"Considering,Current",Degree Overview
masters in marketing,US,Master's in Marketing: A Guide,Published,2022-05-17,https://www.coursera.org/articles/masters-in-marketing,Amanda,Degrees,"Degrees by Topic,Marketing","Business Degrees,Digital Marketer,Marketing Analyst","Switcher,Advancer",Considering,Degree Overview
what is a good gmat score,US,What Is a Good GMAT Score? Finding Your Goal Score in 2026,Published,2021-12-20,https://www.coursera.org/articles/what-is-a-good-gmat-score,Alissa,Degrees,Degree Advice,"Business Degrees,Entrance Exams",Advancer,Applying,Long Explainer
follow up email after interview,US,"Follow-Up Emails After an Interview: Scenarios, Samples, and Templates",Published,2022-07-13,https://www.coursera.org/articles/follow-up-email-after-interview,Alissa,Career Advice,Career Support,Interviews,"Starter,Switcher,Advancer",Applying,Interview Questions
masters in social work,US,Master's in Social Work (MSW) Degree: A Guide,Published,2022-08-02,https://www.coursera.org/articles/masters-in-social-work,Amanda,Degrees,Degrees by Topic,Health Degrees,Advancer,Considering,Degree Overview
infographic resume,US,Infographic Resume Guide: When to Use One and Tips for Yours,Published,2022-11-30,https://www.coursera.org/articles/infographic-resume,Alissa,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
whiteboard challenge,US,How to Prepare for the Whiteboard Challenge: A Guide for Your UX Interview,Published,2021-10-21,https://www.coursera.org/articles/preparing-for-the-whiteboard-design-challenge,Lydia,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher",Applying,Long Explainer
what are college credits,US,What Are College Credits?,Published,2021-11-17,https://www.coursera.org/articles/what-are-college-credits,Amanda,Degrees,Degree Advice,Degree FAQ,Starter,Considering,Degree Overview
laid off,US,What to Do When You're Laid Off,Published,2022-09-14,https://www.coursera.org/articles/laid-off,Alissa,Career Advice,Career Path Planning,Switching Careers,Switcher,Current,Long Explainer
long term career goals,US,Setting and Achieving Long-Term Career Goals (+ Examples),Published,2022-07-13,https://www.coursera.org/articles/long-term-career-goals,Alissa,Career Advice,Career Path Planning,Career Advancement,Advancer,"Considering,Current",Career Path
masters in management vs mba,US,Which Degree Is Better: Master’s in Management vs. MBA,Published,2021-12-06,https://www.coursera.org/articles/masters-in-management-vs-mba,Alissa,Degrees,"Degrees by Topic,Degrees by Level","Business Degrees,Master's",Advancer,Considering,Comparison
how to make a resume,US,How to Make a Resume: 2026 Resume Writing Guide,Redirected,2022-08-18,https://www.coursera.org/articles/how-to-make-a-resume,Alissa,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Roundup
how long does it take to get an associate degree,US,How Long Does It Take to Get an Associate Degree?,Published,2022-01-26,https://www.coursera.org/articles/how-long-does-it-take-to-get-an-associate-degree,Izea,Degrees,"Degrees by Level,Degree Advice",Associate,Starter,Considering,Degree Overview
how to get your first job,US,How to Get Your First Job: A Guide,Published,2022-01-05,https://www.coursera.org/articles/how-to-get-your-first-job,Amanda,Career Advice,Career Support,Job Applications,Starter,Applying,How to (Jobs)
